"FileName"," Time"," Number of Points"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","5","-524.8","835.2","348.8","0","1","1","NaN","NaN","NaN","-1360.0","-873.6","486.4","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","-1033.6","1672.0","753.6","2","3","2","NaN","NaN","NaN","-2705.6","-1787.2","918.4","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","20","-2139.2","3548.8","1521.6","4","5","6","NaN","NaN","NaN","-5688.0","-3660.8","2027.2","Inactive","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","-1105.6","1876.8","768.0","1","1","3","NaN","NaN","NaN","-2982.4","-1873.6","1108.8","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","20","-86.4","2934.4","67.2","3","5","4","NaN","NaN","NaN","-3020.8","-153.6","2867.2","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1019.2","1057.6","-700.8","2","3","1","NaN","NaN","NaN","-38.4","1720.0","1758.4","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","23","3057.6","1440.0","-2068.8","7","8","6","NaN","NaN","NaN","1617.6","5126.4","3508.8","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","13","2038.4","382.4","-1368.0","4","4","4","NaN","NaN","NaN","1656.0","3406.4","1750.4","Hand Raise","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","19","2995.2","731.2","-1910.4","6","6","6","NaN","NaN","NaN","2264.0","4905.6","2641.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","6","956.8","348.8","-542.4","1","2","1","NaN","NaN","NaN","608.0","1499.2","891.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","18","2780.8","403.2","-2080.0","7","7","6","NaN","NaN","NaN","2377.6","4860.8","2483.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1824.0","54.4","-1537.6","5","4","4","NaN","NaN","NaN","1769.6","3361.6","1592.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","20","2980.8","236.8","-2580.8","8","6","8","NaN","NaN","NaN","2744.0","5561.6","2817.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","1156.8","182.4","-1043.2","3","2","3","NaN","NaN","NaN","974.4","2200.0","1225.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","18","2596.8","273.6","-2372.8","7","6","6","NaN","NaN","NaN","2323.2","4969.6","2646.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1440.0","91.2","-1329.6","4","3","3","NaN","NaN","NaN","1348.8","2769.6","1420.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","3172.8","732.8","-2787.2","9","8","8","NaN","NaN","NaN","2440.0","5960.0","3520.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1732.8","641.6","-1457.6","4","4","4","NaN","NaN","NaN","1091.2","3190.4","2099.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","18","2572.8","652.8","-2302.4","6","6","7","NaN","NaN","NaN","1920.0","4875.2","2955.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","6","840.0","11.2","-844.8","1","1","2","NaN","NaN","NaN","828.8","1684.8","856.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","14","2009.6","260.8","-1820.8","3","3","5","NaN","NaN","NaN","1748.8","3830.4","2081.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","1169.6","249.6","-976.0","1","1","2","NaN","NaN","NaN","920.0","2145.6","1225.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","18","2542.4","268.8","-2316.8","5","5","6","NaN","NaN","NaN","2273.6","4859.2","2585.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1372.8","19.2","-1340.8","3","3","3","NaN","NaN","NaN","1353.6","2713.6","1360.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","3094.4","696.0","-2806.4","7","7","7","NaN","NaN","NaN","2398.4","5900.8","3502.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1721.6","676.8","-1465.6","3","3","3","NaN","NaN","NaN","1044.8","3187.2","2142.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","20","2878.4","1190.4","-2492.8","6","5","6","NaN","NaN","NaN","1688.0","5371.2","3683.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","1156.8","513.6","-1027.2","2","1","2","NaN","NaN","NaN","643.2","2184.0","1540.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","20","2752.0","822.4","-2740.8","8","7","7","NaN","NaN","NaN","1929.6","5492.8","3563.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1595.2","308.8","-1713.6","5","5","4","NaN","NaN","NaN","1286.4","3308.8","2022.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","16","2123.2","344.0","-2323.2","6","6","6","NaN","NaN","NaN","1779.2","4446.4","2667.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","4","528.0","35.2","-609.6","0","0","1","NaN","NaN","NaN","492.8","1137.6","644.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","4","528.0","35.2","-609.6","0","0","1","NaN","NaN","NaN","492.8","1137.6","644.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","9","1366.4","454.4","-985.6","3","3","3","NaN","NaN","NaN","912.0","2352.0","1440.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","21","3209.6","1352.0","-2139.2","8","8","8","NaN","NaN","NaN","1857.6","5348.8","3491.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1843.2","897.6","-1153.6","4","4","4","NaN","NaN","NaN","945.6","2996.8","2051.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","20","3012.8","913.6","-2177.6","7","5","7","NaN","NaN","NaN","2099.2","5190.4","3091.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","8","1169.6","16.0","-1024.0","3","1","2","NaN","NaN","NaN","1153.6","2193.6","1040.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","19","2836.8","-544.0","-2230.4","7","5","5","NaN","NaN","NaN","3380.8","5067.2","1686.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1667.2","-560.0","-1206.4","3","3","2","NaN","NaN","NaN","2227.2","2873.6","646.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","3128.0","-808.0","-2862.4","5","7","6","NaN","NaN","NaN","3936.0","5990.4","2054.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","11","1460.8","-248.0","-1656.0","2","3","3","NaN","NaN","NaN","1708.8","3116.8","1408.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","16","2110.4","-283.2","-2444.8","4","4","5","NaN","NaN","NaN","2393.6","4555.2","2161.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","5","649.6","-35.2","-788.8","1","0","2","NaN","NaN","NaN","684.8","1438.4","753.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","17","2464.0","-323.2","-2352.0","5","5","6","NaN","NaN","NaN","2787.2","4816.0","2028.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1814.4","-288.0","-1563.2","4","4","3","NaN","NaN","NaN","2102.4","3377.6","1275.2","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","24","3513.6","305.6","-2870.4","9","9","7","NaN","NaN","NaN","3208.0","6384.0","3176.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1699.2","593.6","-1307.2","4","4","3","NaN","NaN","NaN","1105.6","3006.4","1900.8","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","2934.4","771.2","-2867.2","7","8","7","NaN","NaN","NaN","2163.2","5801.6","3638.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","10","1235.2","177.6","-1560.0","3","3","3","NaN","NaN","NaN","1057.6","2795.2","1737.6","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","22","2920.0","-172.8","-3052.8","8","7","7","NaN","NaN","NaN","3092.8","5972.8","2880.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","12","1684.8","-350.4","-1492.8","4","3","3","NaN","NaN","NaN","2035.2","3177.6","1142.4","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","1.0","21","3040.0","-81.6","-2635.2","8","6","7","NaN","NaN","NaN","3121.6","5675.2","2553.6","Brush Teeth","Brush Teeth"
